Points,sym
"There are some expiring patents and threat from biosimilars, but AMGN now has their own (1.7bn in sales)",AMGN
"I get the underperformance, but the stock is pricing none to very little growth going forward, so, the stock is attractive from a valuation standpoint. Any positive data on their pipeline should help. 2021 will be more on executing marketing their current products as well as another M&A.",AMGN
Beneficiary of the digitization trend although that growth will slow down.,ADBE
 The total addressable market is expected to grow,ADBE
Company has been able to reduce marketing costs by going digital and being less reliant on in person handshakes to strike deals. ,ADBE
Adobe Live platform has doubled its traffic and content in 2020. The increased content allows creative professionals to see how others are using the tools and receive training on new enhancements. ,ADBE
"This network effect creates more engagement and leads to more usage, which leads to more engagement. ",ADBE
Semis/Semiconductor equipment revenue is tied to global GDP growth. Revenue outlook is positive for this space given that global growth is set to rebound in the second half of next year.,LRCX
"Covid led to higher levels of semiconductor consumption because of work from home, gaming, increased demand for PCs, tablets and servers. Revenues in areas like smartphones, autos, and industrial equipment lagged. As growth in the work from home these slows, these other areas should blunt the blow. ",LRCX
"In addition, 5G deployment has been slow in the US, and any ramp up in that will also help the space as we will need more datacenters, memory, and faster computing.",LRCX
Biggest risk for semis is their reliance on the Chinese market. Better trade relations are key for semis. ,LRCX
Utilize retail-based clinics to reduce ER visits,CVS
CVS owns the patient touchpoint through its broad retail footprint as the Pharmacy is typically the most frequently used part of a patient’s healthcare benefit,CVS
"Aetna deal brings a new integrated model to marketplace. Combined entity to drive lower overall health costs through data/analytics, more effective patient engagement ",CVS
